Name	Primary homeland	Subgroups
Kofyar	Plateau State 	
Komi	Russia 	Komi-Zyrians, Komi-Permyaks, izhma Komi
Kongo	Kongol, 	Lari, Vili, Mayombe, Suundi, Dominicans
Konjo	Rwenzori Mountains	Nande
Konkani	Goa 	Luso-indians
Konso	Konso 	
Koreans	Korea 	Jeju islanders, ,  , China, Russia, Japan, Canada, australia, Vietnam, ,  Philippines
Kpelle	Liberia, Guinea	
Kposo	Plateaux , Ghana	
Kru	Liberia 	aizi, Bete, Bakwe, Grebo, Krahn , Kuwaa
Kumyks	Dagestan 	
Kunama	Eritrea, Ethiopia	
Kurds	Kurdistan 	Bajalan, Kurmanjis, Sorans, Zazas, Feylis, iranian Laks, Yazidis, Shabak, , France, Germany
Kurukh	Chota Nagpur Plateau	Kisan
Kuteb	Taraba State 	
Kyrgyz	Kyrgyzstan	
Laks	Lakia 	
Lamaholot	Solor 	
Lampungs	Lampung 	
Lao	Laos	
Latvians	Latvia	Latgalians, Kursenieki, Selonians
Laz	Lazistan 	Turkish Laz, Georgian Laz
Lega	Democratic Republic of  Congo	
Lezgins	Lezgistan 	
Li	Hainan 	
Limba	Sierra Leone 	
Lisu	China, Myanmar	Lipo
Lithuanians	Lithuania	Samogitians, aukstaitians, Lietuvninkai
Luba	Lubal, 	Luba-Kasai, Luba-Katanga, Hemba , Songe, Lulua
Luhya	Western Province 	Bukusu, idakho, isukha, Kabras, Khayo, Kisa, Marachi, Maragoli, Marama, Nyole, Samia, Tachoni, Tiriki, Tsotso, Wanga,
Luo	Kenya	
Lurs	iran 	Bakhtiari, iranian Laks
Luxembourgers	Luxembourg, arelerland	Brazil ,  
Maasai	Maasail, 	Samburu, arusha, Kwavi
Macedonians	North Macedonia	Torbesh, Mijaks, , australia, Greece
Madi	Democratic Republic of  Congo, South Sudan, Uganda	
Madurese	Madura 	Boyanese
Mafa	Cameroon	
Magahi	Magadha 	
Magars	Nepal	
Maguindanao	Maguindanao 	
Maithils	Mithila 	Karan Kayastha
Makassarese	South Sulawesi 	
Makonde	Tanzania, Mueda Plateau	Machinga
Makua	Mozambique	Lomwe, Chuwabu, Moniga, Koti, Nathembo
Malayali	Kerala 	ambalavasi, Dheevara, Nair, Paravar, Saint Thomas Christians , Mappilas, Ezhava, ,  United arab Emirates, Saudi arabia, Oman, Qatar, Kuwait , Bahrain
Malays	Malay world 	Bruneians, Kedahans, Pattani, Pahang, Terengganuarians, Kelantanese, Perakians, Berau, Proto-Malay , Lubu, Palembangnese, Cape Malays, Cocos Malays, Bangka Malays
Maldivians	Maldives	Mahls
Maltese	Malta	Gozitans
Mambila	Mambilla Plateau 	Somyev
Manchu	Manchuria 	
Mandarese	West Sulawesi 	
Mandinka	Mali,  Gambia, Guinea, Senegal	Bolon, Montserratians, Cape Verdeans, , Martinicans
Manggarai	Manggarai 	
Manjak	Guinea-Bissau, Senegal	
Mapuche	araucania 	Huilliche, , Mestizos, Chileans
Maranao	Lanao 	
Marathi	Maharashtra 	Mahar, Maratha, Kunbi, Dhangar, Bhoi
Mari	Mari El 	Meadow Mari, Hill Mari
Masa	Cameroon, Chad	
Masalit	Sudan, Chad	
Maya	Guatemala, Belize, Mexico	Maya, achi, Chuj, Cheortie, itza, Keichee, Qeeqchie, Xinca, Tektitek, Huastecan, Mopan, Lacandon, Chontal, akatek, Jakaltek, Qeanjobeal, Tzeltal, Mochoe, Tojolabeal, Mam, ixil, Tzotzil, Poqomam, Yucatecan Maya, Motozintlecos, awakatek, Kaqchikel, Sakapultek, Sipakapense, Uspantek, Cheol, Tzeutujil, , Mestizos , Guatemalans , Mexicans
Mazahua	State of Mexico 	
Mazatec	Oaxaca 	ayautla
Mbaka	Central african Republic, Democratic Republic of  Congo	
Mehri	Mahra 	Soqotri
Meitei	Manipur 	Loi
Melanau	Sarawak 	
Mende	Sierra Leone 	
Merina	antananarivo Province	
Mien	China , Vietnam	iu Mien, Kim Mun, Dzao Min, Biao Min, Bunu, Lakkia, Biao Mon
Mijikenda	Coast Province 	Chonyi, Giriama, Digo, Segeju
Minahasan	Minahassa Peninsula	Tonsawang, Tontemboan, Tondano, Tombulu, Tonsea
Minangkabau	Minangkabau Highlands	aneuk Jamee
Mising	india 	
Miskito	Mosquito Coast 	
Mixe	Oaxaca 	
Mixtec	La Mixteca 	Trique, Cuicatecs, amoltepec
Miekmaq	Miekmaeki 	
Mon	Mon State 	
Mongo	Democratic Republic of  Congo 	Bolia, Ntomba, Ngando, iyaelima, Mbole, Mpama, Nkutu, Sengele, Hendo, Dengese, Tetela
Mongols	inner Mongolia , Mongolia	Buryats, Barga, Oirats, Kalmyks, Daur, Moghols, Hamnigan, Monguor, Yugur, Khatso, Bonan, Sart Kalmyks, Soyot, Sichuan Mongols, Sogwo arig, altai Uriankhai, Ordos, Kanja, Sogwo arig, Mughals
Mongondow	Mongondowia 	
Montenegrins	Montenegro	Serbia ,  
Mordvins	Mordovia 	Erzyas, Mokshas, Qaratays
Mossi	Mossil, 	
Mumuye	Taraba State 	
Munanese	Muna 	
Mundas	india 	Sabar, Mahali
Murut	Murutia 	Okolod, Keningau, Tagal, Paluan, Selungai, Timugon, Serudung, Sembakung, Tidong, Kalabakan, Bulungan, Bookan
Muscogee	United States 	Coushatta, alibamu, Hitchiti, Natchez, Seminoles , Yuchi, Shawnee, Creoles of color, Miccosukee
Musgum	Far North Region, Chad 	
Mwera	Tanzania 	
Meori	New Zealand	Cook islanders
Naga	india , Myanmar	angami, ao, Sangtam, Yimchunger, Lotha, Chakhesang, Mao, Pochury, Rengma, Tangkhul, Maring, Zemi, Liangmei, Kabui, Maram, Konyak, Chang, Wancho, Phom, Khiemnungan, Tangsa, Nocte
Nagpuri	Chota Nagpur Plateau	Chik Baraik
Nahuas	Mexico	Huasteca Nahuas, Mexicaneros, Sierra Puebla Nahuas, Guerrero Nahuas, Orizaba Nahuas, Southeastern Puebla Nahuas, Central Nahuas, Pipil, , Mestizos , Mexicans
Nama	Namal, , South africa	
Navajo	Navajo Nation 	
Newar	Kathmandu Valley 	Chitrakar
Ngaju	Central Kalimantan	Bakumpai, Meratus
Ngalop	Bhutan	Kheng, Bumthang
Ngbandi	Democratic Republic of  Congo, Central african Republic	Yakoma
Nias	Nias 	
Nogais	Russia 	ak Nogai, Karagash
Norwegians	Norway	 , , Norwegian Canadians
Nubians	Nubia 	Nobiin, Mattokki, Dongolawi, Midob, Hill Nubians , Birgid, Jaealin , Shaigiya
Nuer	Nuerl, 	
Nuristanis	Nuristan 	Safed-Posh Kaffirs , Kamkata-viris
Nyishi	arunachal Pradesh 	
Nung	Vietnam, Guangxi 	
Occitans	Occitania 	aranese, auvergnats, Provencals, Languedociens, Gascons
Odia	Odisha 	Utkala Brahmins, Khandayat
Ogoni	Ogonil, 	Baan, Eleme, Gokana, Tee
Ojibwe	anishinaabel, 	Oji-Cree, Odawa, Potawatomi, Mississaugas
Oromo	Oromia , Kenya	Boran, Barentoo, Salale, Macha, arsi, Wollo
Ossetians	South Ossetia, North Ossetia-alania 	iron, Digor
Ot Danum	indonesia 	Lawangan, Maeanyan
Otomi	Mexico 	
Ovambo	Ovambol, , angola	
Ovimbundu	angola	
PaeO	Shan State 	
Palestinians	State of Palestine, israel	arab israelis, , Syria, Jordan, Lebanon, , Chile
Pamiris	Pamir Mountains 	Shughni, Sarikoli , Yazghulami, Munji, Yidgha, Sanglechi, ishkashimi, Wakhi
Pangasinese	Pangasinan 	
Papel	Biombo Region 	
Pare	Pare Mountains 	
Pashayi	afghanistan 	
Pashtuns	Pashtunistan 	Pashtun americans, Kakar
Pedi	Limpopo 	
Pende	Democratic Republic of  Congo	
Persians	iran	Tat, ,  ,  United arab Emirates, Canada, Germany,  United Kingdom, Bahrain, australia, , Sweden
Poles	Poland	 , Brazil, Germany, Canada, iceland, Sweden, France,  United Kingdom, argentina, Belarus, Russia, australia, Lithuania, Ukraine, ireland, , Norway
Portuguese	Portugal	azoreans, Madeirans, Brazilians , Cape Verdeans, Portuguese angolans, Portuguese Mozambicans, Luso-indians, Macanese, Kristangs, , Portuguese Burghers
Punjabis	Punjab 	Sikhs, Jat, Khatris, arain, awan, ,  United Kingdom, Canada, ,  .
Purepecha	Michoacan 	
Qashqai	Fars Province 	
Qiang	Ngawa Tibetan , Qiang autonomous Prefecture	
Quechua	Peru, Bolivia, Ecuador	Yaru, Cusco, ayacucho, , Mestizos , Peruvians, Ecuadorians, , Bolivians
Rade	Central Highlands 	
Rajasthanis	Rajasthan 	Banjara, Gurjars, Rajputs , Marwari, Charan, Kachhi, Meena
Rajbongshi	india , Bangladesh	
Rakhine	Rakhine State 	Marma
Rejangese	Rejang Lebong Regency	
Rohingyas	Rakhine State 	
Roma	Europe 	Roma , iberian Kale, Finnish Kale, Welsh Kale, Romanichal, Sinti, Manush, Romanisael, ashkali , Balkan Egyptians, Boyash, Lom, Dom , ,  , , Brazil.
Romanians	Romania, Moldova	Moldovans, , italy, Germany, Spain, Ukraine,  United Kingdom, , France.
